theta,epsilon,method,N_D,N_D_only,N_R_only,N_T,f,achieved_frob,validate_frob,wall_s,all_checks_pass
0.5,0.001,HRSA(f=4),52,46,6,514,8,0.000690645,0.0006906454487679304,1206,true
0.5,0.005,HRSA(f=3),50,48,2,498,6,0.0030644,0.0030644009619843655,30,true
0.5,0.01,HRSA(f=3),51,49,2,508,6,0.00701867,0.00701866724296196,40,true
0.5,0.05,HRSA(f=2),44,44,0,440,4,0.0320004,0.03200036063225656,21,true
0.5,0.1,HRSA(f=2),20,17,3,197,4,0.0687089,0.06870888501647815,19,true
0.5,0.3,bidir(4+4),8,,,,2,0.214639,0.21463891190640758,862,true
0.5,0.5,Direct,0,,,,0,0.352633,0.3526333976772774,0,true
0.7854,0.001,HRSA(f=3),41,36,5,405,6,0.00069552,0.0006955195516147133,29,true
0.7854,0.005,HRSA(f=3),49,47,2,488,6,0.00327228,0.0032722755040700824,30,true
0.7854,0.01,HRSA(f=3),34,32,2,338,6,0.00701835,0.0070183544445324144,38,true
0.7854,0.05,HRSA(f=2),25,23,2,248,4,0.0242237,0.024223683859666466,21,true
0.7854,0.1,HRSA(f=2),24,23,1,239,4,0.0696203,0.06962032996287137,23,true
0.7854,0.3,bidir(4+4),8,,,,2,0.238517,0.23851691791100232,275,true
0.7854,0.5,Direct,1,,,,0,0.430269,0.43026862824824164,0,true
1.0053,0.001,HRSA(f=4),49,43,6,484,8,0.000691209,0.0006912093107018582,1233,true
1.0053,0.005,HRSA(f=3),40,39,1,399,6,0.00341907,0.003419073472694465,35,true
1.0053,0.01,HRSA(f=3),48,43,5,475,6,0.00700873,0.007008728155449075,41,true
1.0053,0.05,HRSA(f=2),41,41,0,410,4,0.0341796,0.03417962606256496,25,true
1.0053,0.1,HRSA(f=2),23,19,4,226,4,0.0683637,0.06836369433475578,19,true
1.0053,0.3,Direct,1,,,,0,0.276013,0.27601291100451886,0,true
1.0053,0.5,Direct,1,,,,0,0.276013,0.27601291100451886,0,true
1.5708,0.001,HRSA(f=3),46,41,5,455,6,0.000627289,0.0006272892131607602,33,true
1.5708,0.005,HRSA(f=3),45,43,2,448,6,0.00334939,0.0033493878472126014,38,true
1.5708,0.01,HRSA(f=3),46,40,6,454,6,0.00705139,0.007051391158064069,44,true
1.5708,0.05,HRSA(f=2),21,21,0,210,4,0.0322665,0.03226650958119927,31,true
1.5708,0.1,HRSA(f=2),24,20,4,236,4,0.0676889,0.06768888623350904,184,true
1.5708,0.3,Direct,1,,,,0,0.123377,0.12337685326501267,0,true
1.5708,0.5,Direct,1,,,,0,0.123377,0.12337685326501267,0,true
2.0106,0.001,HRSA(f=4),65,60,5,645,8,0.000701331,0.0007013311465033565,1201,true
2.0106,0.005,HRSA(f=3),38,34,4,376,6,0.00345794,0.0034579419259499196,34,true
2.0106,0.01,HRSA(f=3),40,39,1,399,6,0.00704806,0.007048061415165581,46,true
2.0106,0.05,HRSA(f=2),25,23,2,248,4,0.02451,0.024509994900154857,29,true
2.0106,0.1,HRSA(f=2),24,23,1,239,4,0.0701644,0.07016444368655327,22,true
2.0106,0.3,bidir(4+4),8,,,,2,0.239619,0.23961859437263355,278,true
2.0106,0.5,Direct,1,,,,0,0.432696,0.4326958037207132,0,true
2.14,0.001,HRSA(f=4),61,59,2,608,8,0.000691811,0.0006918107865746033,1199,true
2.14,0.005,HRSA(f=3),50,47,3,497,6,0.00308625,0.0030862458378707516,30,true
2.14,0.01,HRSA(f=3),44,43,1,439,6,0.00689235,0.006892354525350677,41,true
2.14,0.05,HRSA(f=2),22,19,3,217,4,0.0314136,0.03141359609524505,20,true
2.14,0.1,HRSA(f=0),1,0,1,9,0,0.0322468,0.03224683372603272,0,true
2.14,0.3,bidir(4+4),8,,,,2,0.252973,0.2529729739211869,262,true
2.14,0.5,Direct,1,,,,0,0.459362,0.459362362496233,1,true
2.5133,0.001,HRSA(f=4),50,46,4,496,8,0.000676803,0.0006768031667824162,1216,true
2.5133,0.005,HRSA(f=3),45,39,6,444,6,0.003189,0.0031889971675970446,34,true
2.5133,0.01,HRSA(f=3),41,39,2,408,6,0.0069861,0.006986099896701591,46,true
2.5133,0.05,HRSA(f=2),17,13,4,166,4,0.0339622,0.033962173073063505,21,true
2.5133,0.1,HRSA(f=2),29,27,2,288,4,0.0685175,0.06851748150914479,22,true
2.5133,0.3,Direct,1,,,,0,0.197283,0.1972828491403448,0,true
2.5133,0.5,Direct,1,,,,0,0.197283,0.1972828491403448,1,true
2.879,0.001,HRSA(f=4),43,41,2,428,8,0.000689378,0.0006893784975241902,1224,true
2.879,0.005,HRSA(f=3),34,29,5,335,6,0.00343091,0.0034309059605821045,106,true
2.879,0.01,HRSA(f=3),52,51,1,519,6,0.00703964,0.007039639582609251,134,true
2.879,0.05,HRSA(f=2),26,23,3,257,4,0.0242676,0.02426760222024373,203,true
2.879,0.1,Direct,1,,,,0,0.061141,0.0611410212100844,0,true
2.879,0.3,Direct,1,,,,0,0.061141,0.0611410212100844,0,true
2.879,0.5,Direct,1,,,,0,0.061141,0.0611410212100844,0,true
